127.0.0.1 - - [09/Nov/2021:16:45:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Nov/2021:16:45:57 +0900] "GET /Web_project/Test/webapp/main.jsp HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [09/Nov/2021:16:46:04 +0900] "GET /Web_project/Test/webapp/main.jsp HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [09/Nov/2021:16:46:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Nov/2021:16:46:08 +0900] "GET /Web_project/Test/webapp/avengersInfo.jsp HTTP/1.1" 500 4075
0:0:0:0:0:0:0:1 - - [09/Nov/2021:16:51:02 +0900] "GET /Web_project/Test/webapp/main.jsp HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [09/Nov/2021:16:51:24 +0900] "GET /Web_project/Test/webapp/main.jsp HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [09/Nov/2021:16:51:45 +0900] "GET /Web_project/Test/webapp/avengersInfo.jsp HTTP/1.1" 500 4075
0:0:0:0:0:0:0:1 - - [09/Nov/2021:16:51:47 +0900] "GET /Web_project/Test/webapp/login.html HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [09/Nov/2021:16:51:50 +0900] "POST /Web_project/Test/webapp/loginAction.jsp HTTP/1.1" 500 2685
0:0:0:0:0:0:0:1 - - [09/Nov/2021:16:51:57 +0900] "POST /Web_project/Test/webapp/loginAction.jsp HTTP/1.1" 500 2685
0:0:0:0:0:0:0:1 - - [09/Nov/2021:16:52:00 +0900] "POST /Web_project/Test/webapp/loginAction.jsp HTTP/1.1" 500 2277
